Code,Country,Site.ID,PrName,PrName.Base,Diversity,Product.Simple,Out.SubInd,Units,MeanT,MeanC
DM0026,Brazil,Dois Córregos,Supplemental Irrigation,Inorganic Fertilizer-Multistrata Agroforestry-Organic Fertilizer-pH Control,NA,Macadamia,Crop Yield,kg/ha,345.2,148
DM0026,Brazil,Dois Córregos,Supplemental Irrigation,Inorganic Fertilizer-Multistrata Agroforestry-Organic Fertilizer-pH Control,NA,Arabica,Crop Yield,kg/ha,2996.21504652816,1996.29609805705
CJ0022,Brazil,"Dois Córregos,  São Paulo State",Multistrata Agroforestry,Improved Varieties-Inorganic Fertilizer-pH Control,NA,Arabica,Crop Yield,kg/ha,2043.73333333333,2118.8
CJ0022,Brazil,"Dois Córregos,  São Paulo State",Multistrata Agroforestry,Improved Varieties-Inorganic Fertilizer-pH Control,NA,Macadamia,Crop Yield,kg/ha,1438.2,1388.555
SP0020,Brazil,Experimental Station of the Sao Paulo Agency of Agrobusiness Technology (APTA),Multistrata Agroforestry,Improved Varieties-Inorganic Fertilizer,Macadamia integrifolia,Arabica,Crop Yield,kg/ha,1551.39583333333,1645.25
JO0021,Brazil,"Dois Córregos,",Other Agroforestry,Improved Varieties-Inorganic Fertilizer-Organic Fertilizer-pH Control-Water Harvesting,NA,Coffee,Crop Yield,kg/ha,2825.14285714286,2402.57142857143
NN0465,Brazil,Piracicaba- Clay,Inorganic Fertilizer,Improved Varieties-Inorganic Fertilizer-pH Control,NA,Maize,Crop Yield,kg/ha,21662.5,10100
AC0106,Brazil,Botucatu,pH Control,Improved Varieties-Inorganic Fertilizer,NA,Soybean,Crop Yield,kg/ha,3471.5,2436
AC0106,Brazil,Botucatu,pH Control,Improved Varieties-Inorganic Fertilizer,NA,Maize,Crop Yield,kg/ha,6869.5,5098
CJ0091,Brazil,"Piracicaba municipal, state of São Paulo",Intercropping,Improved Varieties-Inorganic Fertilizer,NA,Maize,Crop Yield,kg/ha,6838.5,7080.5
NN0465,Brazil,Piracicaba- Sandy Loam,Inorganic Fertilizer,Improved Varieties-Inorganic Fertilizer-pH Control,NA,Maize,Crop Yield,kg/ha,10587.5,7500
AC0156,Brazil,"Escola Superior de Agricultura Luiz de Queiroz, University of Sao Paulo",Inorganic Fertilizer,Crop Rotation-Inorganic Fertilizer-Mulch-Reduced Tillage,Black oats/Maize/Lupin/Maize,Maize,Crop Yield,kg/ha,4297.6501305483,1707.57180156658
JO0111,Brazil,Seropédica in Rio de Janeiro State (RJ),Inorganic Fertilizer,Improved Varieties-pH Control,NA,Maize,Crop Yield,kg/ha,3875,3850
NM0035,Brazil,Seropedica,Inorganic Fertilizer,Inorganic Fertilizer-pH Control-Supplemental Irrigation,NA,Maize,Crop Yield,kg/ha,7260,2660
JO0050,Brazil,"Botucatu, SP",Inorganic Fertilizer,Crop Residue-Crop Rotation-Inorganic Fertilizer-Reduced Tillage,Guinea Grass/Maize/Guinea Grass/Maize,Maize,Crop Yield,kg/ha,9300,4100
JO0050,Brazil,"Botucatu, SP",Inorganic Fertilizer,Crop Residue-Crop Rotation-Inorganic Fertilizer-Reduced Tillage,Palisade Grass/Maize/Palisade Grass/Maize,Maize,Crop Yield,kg/ha,9850,3850
JO0050,Brazil,"Botucatu, SP",Inorganic Fertilizer,Crop Residue-Crop Rotation-Inorganic Fertilizer-Reduced Tillage,Congo Grass/Maize/Congo Grass/Maize,Maize,Crop Yield,kg/ha,9400,3200
SP0024,Brazil,Lageado Experimental Farm of the UNESP,pH Control,Improved Varieties-Inorganic Fertilizer-Reduced Tillage,NA,Groundnut,Crop Yield,kg/ha,3203.33333333333,2205
SP0024,Brazil,Lageado Experimental Farm of the UNESP,pH Control,Improved Varieties-Inorganic Fertilizer-Reduced Tillage,NA,Oats,Crop Yield,kg/ha,2969.26338102808,2064.38791732909
SP0024,Brazil,Lageado Experimental Farm of the UNESP,pH Control,Improved Varieties-Inorganic Fertilizer-Intercropping-Reduced Tillage,NA,Maize,Crop Yield,kg/ha,7787.40157480315,6110.23622047244
DM0021,Brazil,Lageado Experimental Farm-Universidade Estadual Paulista-Botucatu,pH Control,Improved Varieties-Inorganic Fertilizer-Silvopasture,Soybean/Congo Grass/Maize/Congo Grass,Soybean,Crop Yield,kg/ha,3483.5,2872
DM0021,Brazil,Lageado Experimental Farm-Universidade Estadual Paulista-Botucatu,pH Control,Crop Rotation-Improved Varieties-Inorganic Fertilizer-Silvopasture,Soybean/Congo Grass/Maize/Congo Grass,Maize,Crop Yield,kg/ha,18202,6554
CJ0072,Brazil,"Botucatu, São Paulo State",Intercropping,Improved Varieties-Inorganic Fertilizer-Reduced Tillage,NA,Soybean,Crop Yield,kg/ha,2735,3250
JO0216,Brazil,"Botucatu, Sao Paulo",Improved Varieties,Crop Rotation-Inorganic Fertilizer,Pigeon Pea/Rice/Common Bean,Common Bean,Crop Yield,kg/ha,2019,2679
SP0033,Brazil,Botucatu,pH Control,Inorganic Fertilizer-Mulch-Reduced Tillage,Soybean/Maize/Pearl Millet/Pigeon Pea,Soybean,Crop Yield,kg/ha,3480.5,2691
SP0033,Brazil,Botucatu,pH Control,Crop Rotation-Inorganic Fertilizer-Mulch-Reduced Tillage,Soybean/Maize/Pearl Millet/Pigeon Pea,Maize,Crop Yield,kg/ha,8808.5,6140
SP0039,Brazil,Botucatu,Intercropping,Crop Residue-Inorganic Fertilizer-Mulch-pH Control-Reduced Tillage,NA,Maize,Crop Yield,kg/ha,7461,8146
JO0092,Brazil,"Botucatu, São Paulo State",Inorganic Fertilizer,Improved Varieties-Inorganic Fertilizer-Supplemental Irrigation,NA,Common Bean,Crop Yield,kg/ha,2578.625,2146
AC0111,Brazil,Botucatu,Inorganic Fertilizer,Improved Varieties-Mulch-Reduced Tillage,NA,Soybean,Crop Yield,kg/ha,4385.16260162601,1707.31707317073
AC0111,Brazil,Botucatu,Inorganic Fertilizer,Improved Varieties-Mulch-Reduced Tillage,NA,Maize,Crop Yield,kg/ha,13165.991902834,4404.85829959514
CJ0097,Brazil,Botucatu-NNT,Inorganic Fertilizer,Crop Residue Incorporation-Inorganic Fertilizer-Reduced Tillage,Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Fallow/Fallow/Fallow/Fallow/Fallow/Fallow/Fallow/Fallow/Maize/Black oats/Fallow/Fallow/Fallow/Fallow/Pearl Millet/Black oats/Common Bean/Black oats/Maize/Black oats/Maize/Black oats/Soybean/Fallow/Common Bean/Black oats/Common Bean/Black oats,Common Bean,Crop Yield,kg/ha,1783,1332
CJ0097,Brazil,Botucatu-NNT,Inorganic Fertilizer,Crop Residue Incorporation-Inorganic Fertilizer-Reduced Tillage,NA,Common Bean,Crop Yield,kg/ha,1913,1332
CJ0097,Brazil,Botucatu-ENT,Inorganic Fertilizer,Crop Residue Incorporation-Inorganic Fertilizer-Reduced Tillage,Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Fallow/Fallow/Fallow/Fallow/Fallow/Fallow/Fallow/Fallow/Maize/Black oats/Fallow/Fallow/Fallow/Fallow/Pearl Millet/Black oats/Common Bean/Black oats/Maize/Black oats/Maize/Black oats/Soybean/Fallow/Common Bean/Black oats/Common Bean/Black oats,Common Bean,Crop Yield,kg/ha,1862.33333333333,1574
CJ0097,Brazil,Botucatu-ENT,Inorganic Fertilizer,Crop Residue Incorporation-Inorganic Fertilizer-Reduced Tillage,Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Fallow/Fallow/Fallow/Fallow/Fallow/Fallow/Fallow/Fallow/Maize/Black oats/Fallow/Fallow/Fallow/Fallow/Pearl Millet/Black oats/Common Bean/Black oats/Maize/Black oats/Maize/Black oats/Soybean/Fallow/Common Bean/Black oats/Black oats,Common Bean,Crop Yield,kg/ha,2938,1574
CJ0097,Brazil,Botucatu-ENT,Inorganic Fertilizer,Crop Residue Incorporation-Inorganic Fertilizer-Reduced Tillage,Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Fallow/Fallow,Common Bean,Crop Yield,kg/ha,2100,1574
CJ0097,Brazil,Botucatu-ENT,Inorganic Fertilizer,Crop Residue Incorporation-Inorganic Fertilizer-Reduced Tillage,NA,Common Bean,Crop Yield,kg/ha,2140.5,1574
JO0083,Brazil,Botucatu..Botucatu_B..Botucatu_C,Inorganic Fertilizer,Improved Varieties-Inorganic Fertilizer-Mulch-pH Control,NA,Sorghum,Crop Yield,kg/ha,3563.33333333333,3120
JO0083,Brazil,Botucatu..Botucatu_B..Botucatu_C,Intercropping,Improved Varieties-Inorganic Fertilizer-Mulch-pH Control,NA,Sorghum,Crop Yield,kg/ha,2931.25,3452.5
JO0083,Brazil,Botucatu..Botucatu_B..Botucatu_C,Inorganic Fertilizer,Improved Varieties-Inorganic Fertilizer-Intercropping-Mulch-pH Control,NA,Sorghum,Crop Yield,kg/ha,3111.66666666667,2390
JO0214,Brazil,Botucatu,Inorganic Fertilizer,Improved Varieties-Inorganic Fertilizer,Natural Fallow/Maize,Maize,Crop Yield,kg/ha,8070.85020242914,7236.84210526315
JO0214,Brazil,Botucatu,Inorganic Fertilizer,Crop Rotation-Improved Varieties-Inorganic Fertilizer-Mulch,Brachiaria brizantha/Maize,Maize,Crop Yield,kg/ha,9556.68016194332,9070.85020242914
NN0425,Brazil,Botucatu,Intercropping,Improved Varieties-Inorganic Fertilizer-Reduced Tillage,NA,Maize,Crop Yield,kg/ha,9745,10301
JO0051,Brazil,"Manduri, São Paulo State",pH Control,Improved Varieties-Inorganic Fertilizer,NA,Coffee,Crop Yield,kg/ha,1702.05,1387.8
NN0431,Brazil,"Manduri, São Paulo State",pH Control,Improved Varieties-Inorganic Fertilizer,NA,Arabica,Crop Yield,kg/ha,1756,1387.8
NN0442,Brazil,Embrapa Soybean Experimental Station,Reduced Tillage,Improved Fallow-Improved Varieties-Inorganic Fertilizer-pH Control,Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean,Soybean,Crop Yield,kg/ha,3066.625,2542.025
NN0442,Brazil,Embrapa Soybean Experimental Station,Reduced Tillage,Improved Fallow-Improved Varieties-Inorganic Fertilizer-pH Control,Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean,Wheat,Crop Yield,kg/ha,2259.02631578947,2287.36842105263
CJ0080,Brazil,Embrapa Soybean Experimental Station,Crop Rotation,Crop Residue Incorporation-Inorganic Fertilizer,Maize/Black oats/Soybean/Wheat/Soybean/Lupin/Maize/Black oats/Soybean/Black oats/Soybean/Wheat/Soybean/Lupin/Maize/Black oats/Soybean/Fallow/Maize/Black oats/Soybean/Black oats/Soybean,Soybean,Crop Yield,kg/ha,2870,2860
NN0470,Brazil,Embrapa Soybean Experimental Station,Organic Fertilizer,Improved Varieties-Inorganic Fertilizer,NA,Soybean,Crop Yield,kg/ha,2465170.11202159,1702814.92525007
NN0470,Brazil,Embrapa Soybean Experimental Station,pH Control,Improved Varieties-Inorganic Fertilizer,NA,Soybean,Crop Yield,kg/ha,2067471.80783042,1702814.92525007
NN0470,Brazil,Embrapa Soybean Experimental Station,pH Control,Improved Varieties-Inorganic Fertilizer-Organic Fertilizer,NA,Soybean,Crop Yield,kg/ha,2546387.57115393,2465170.11202159
NN0470,Brazil,Embrapa Soybean Experimental Station,Organic Fertilizer,Improved Varieties-Inorganic Fertilizer-pH Control,NA,Soybean,Crop Yield,kg/ha,2546387.57115393,2067471.80783042
JO0086,Brazil,National Soybean Research Center (Embrapa Soja)-NT..National Soybean Research Center (Embrapa Soja)-CT,Inorganic Fertilizer,Improved Varieties-Mulch-pH Control-Reduced Tillage,Wheat/Soybean/Wheat/Soybean,Wheat,Crop Yield,kg/ha,2098,2603
JO0086,Brazil,National Soybean Research Center (Embrapa Soja)-NT..National Soybean Research Center (Embrapa Soja)-CT,Inorganic Fertilizer,Improved Varieties-pH Control,Wheat/Soybean/Wheat/Soybean,Wheat,Crop Yield,kg/ha,2462,2660
CJ0118,Brazil,Astorga County,Inorganic Fertilizer,Improved Varieties,NA,Wheat,Crop Yield,kg/ha,4064.2,2782.55
CJ0118,Brazil,Astorga County,Organic Fertilizer,Improved Varieties,NA,Wheat,Crop Yield,kg/ha,3654.1,2782.55
AC0115,Brazil,State University of Londrina,Inorganic Fertilizer,Improved Varieties-Inorganic Fertilizer,NA,Maize,Crop Yield,kg/ha,9377.76475,8106.575
AC0028,Brazil,"IAPAR, Londrina",Multistrata Agroforestry,"",NA,Coffee,Crop Yield,kg/ha,2413,2421
JO0085,Brazil,"IAPAR, Londrina",Improved Varieties,Inorganic Fertilizer,NA,Maize,Crop Yield,kg/ha,4443.88,19084.5826923077
