Code,Country,Site.ID,PrName,PrName.Base,Diversity,Product.Simple,Out.SubInd,Units,MeanT,MeanC
NM0020,Brazil,"Experimental Area,  Curitibanos Campus, Universidade Federal de Santa Catarina (UFSC)",Improved Fallow,Inorganic Fertilizer-Mulch-Reduced Tillage,Canola/Maize/Canola/Maize/Canola/Maize/Canola/Maize/Canola/Maize,Maize,Crop Yield,kg/ha,5698.62162349314,4896.84986539622
NM0020,Brazil,"Experimental Area,  Curitibanos Campus, Universidade Federal de Santa Catarina (UFSC)",Improved Fallow,Inorganic Fertilizer-Mulch-Reduced Tillage,Black oats-Common Vetch/Maize/Black oats-Common Vetch/Maize/Black oats-Common Vetch/Maize/Black oats-Common Vetch/Maize/Black oats-Common Vetch/Maize,Maize,Crop Yield,kg/ha,6007.20615225433,4896.84986539622
NM0020,Brazil,"Experimental Area,  Curitibanos Campus, Universidade Federal de Santa Catarina (UFSC)",Improved Fallow,Inorganic Fertilizer-Mulch-Reduced Tillage,Oats/Maize/Oats/Maize/Oats/Maize/Oats/Maize/Oats/Maize,Maize,Crop Yield,kg/ha,4987.59412911762,4896.84986539622
NM0020,Brazil,"Experimental Area,  Curitibanos Campus, Universidade Federal de Santa Catarina (UFSC)",Improved Fallow,Inorganic Fertilizer-Mulch-Reduced Tillage,Ryegrass sp/Maize/Ryegrass sp/Maize/Ryegrass sp/Maize/Ryegrass sp/Maize/Ryegrass sp/Maize,Maize,Crop Yield,kg/ha,4582.87116795819,4896.84986539622
NM0020,Brazil,"Experimental Area,  Curitibanos Campus, Universidade Federal de Santa Catarina (UFSC)",Improved Fallow,Inorganic Fertilizer-Mulch-Reduced Tillage,Red Clover/Maize/Red Clover/Maize/Red Clover/Maize/Red Clover/Maize/Red Clover/Maize,Maize,Crop Yield,kg/ha,6013.22599864615,4896.84986539622
CJ0071,Brazil,"Experimental Area,  Curitibanos Campus, Universidade Federal de Santa Catarina (UFSC)",Inorganic Fertilizer,Improved Varieties-Inorganic Fertilizer-Mulch,NA,Maize,Crop Yield,kg/ha,10333,6668
AC0155,Brazil,"Experimental Area,  Curitibanos Campus, Universidade Federal de Santa Catarina (UFSC)",Inorganic Fertilizer,"",NA,Maize,Crop Yield,kg/ha,10440,7405
NM0046,Brazil,Santa Catarina State University (UDESC),Organic Fertilizer,pH Control,Common Bean/Wheat/Maize/Wheat,Common Bean,Crop Yield,kg/ha,3294.79768786127,1838.15028901734
NM0046,Brazil,Santa Catarina State University (UDESC),Inorganic Fertilizer,pH Control,Common Bean/Wheat/Maize/Wheat,Common Bean,Crop Yield,kg/ha,3728.32369942196,1838.15028901734
NM0060,Brazil,Lages,Inorganic Fertilizer,Inorganic Fertilizer,NA,Maize,Crop Yield,kg/ha,10709.25,8344.5
NN0436,Brazil,"Embrapa Wheat Research Centre, Passo Fundo",Reduced Tillage,"",Maize/Wheat/Soybean/Hairy Vetch,Maize,Crop Yield,kg/ha,5884,4807
CJ0102,Brazil,Augusto Pestana,Inorganic Fertilizer,Improved Fallow-Improved Varieties-Inorganic Fertilizer,Maize/Radish,Maize,Crop Yield,kg/ha,10172.5352112676,7417.25352112676
CJ0102,Brazil,Augusto Pestana,Inorganic Fertilizer,Improved Fallow-Improved Varieties-Inorganic Fertilizer,Maize/Black oats,Maize,Crop Yield,kg/ha,10046.3615023474,8500
NN0433,Brazil,Liberdade farm,Supplemental Irrigation,Improved Varieties-Inorganic Fertilizer,NA,Maize,Crop Yield,kg/ha,1361.14265,1155.8255
AC0139,Brazil,Universidade Federal de Santa Maria (UFSM),Organic Fertilizer,Crop Residue-Reduced Tillage-Supplemental Irrigation,NA,Maize,Crop Yield,kg/ha,4671.46282973621,3251.79856115107
AC0139,Brazil,Universidade Federal de Santa Maria (UFSM),Inorganic Fertilizer,Crop Residue-Reduced Tillage-Supplemental Irrigation,NA,Maize,Crop Yield,kg/ha,6374.10071942446,3251.79856115107
AC0154,Brazil,Universidade Federal de Santa Maria (UFSM),Inorganic Fertilizer,Crop Rotation,Black oats/Maize,Maize,Crop Yield,kg/ha,6370,3042
