Code,Country,Site.ID,PrName,PrName.Base,Diversity,Product.Simple,Out.SubInd,Units,MeanT,MeanC
NM0045,Brazil,Southern Brazil,Mulch,Crop Rotation-Inorganic Fertilizer-Intercropping,Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize/Black oats-Grazing Vetch/Cowpea-Maize,Maize,Crop Yield,kg/ha,7863.33333333333,5496.66666666667
CJ0078,Nicaragua,La Compañía experimental station,Mulch,Crop Rotation-Inorganic Fertilizer,Maize/Common Bean/Maize/Common Bean/Maize/Common Bean,Common Bean,Crop Yield,kg/ha,1215,1250
CJ0078,Nicaragua,La Compañía experimental station,Mulch,Inorganic Fertilizer,Maize/Common Bean/Maize/Common Bean/Maize/Common Bean,Common Bean,Crop Yield,kg/ha,1226.66666666667,1270
NM0033,Mexico,"Casas Blancas, Michoacan",Mulch,"",Common Vetch/Maize/Common Vetch/Maize,Maize,Crop Yield,kg/ha,1112,514
NM0033,Mexico,"Casas Blancas, Michoacan",Mulch,"",Oats/Oats/Maize/Maize,Maize,Crop Yield,kg/ha,461,514
AC0024,Mexico,"CIMMYT, El Batán Experimental Station",Mulch,Inorganic Fertilizer-Reduced Tillage,Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat,Maize,Crop Yield,kg/ha,5710.65989847715,1385.78680203045
AC0024,Mexico,"CIMMYT, El Batán Experimental Station",Mulch,Inorganic Fertilizer,Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat,Maize,Crop Yield,kg/ha,5710.65989847715,3220.81218274112
AC0024,Mexico,"CIMMYT, El Batán Experimental Station",Mulch,Inorganic Fertilizer,NA,Maize,Crop Yield,kg/ha,5101.52284263959,3274.1116751269
AC0024,Mexico,"CIMMYT, El Batán Experimental Station",Mulch,Crop Rotation-Inorganic Fertilizer,Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat,Maize,Crop Yield,kg/ha,5710.65989847715,3852.79187817259
NM0012,Mexico,"CIMMYT, El Batán Experimental Station",Mulch,Inorganic Fertilizer-Reduced Tillage,Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat,Maize,Crop Yield,kg/ha,5386.66666666667,2333.33333333333
